OrderId,ProductName
1181,"Parle-G Biscuits"
378,"Ariel Detergent"
2138,"Maggi Noodles"
3423,"Dettol Liquid"
14,"Nestle Milk"
966,"Good Day Cookies"
351,"Maggi Noodles"
593,"Amul Butter"
3384,"Tata Tea Gold"
3129,"Tata Tea Gold"
2107,"Dettol Liquid"
2603,"Nestle Milk"
1449,"Clinic Plus Shampoo"
3687,"Clinic Plus Shampoo"
3504,"Maggi Noodles"
966,Bournvita
887,"Britannia Rusk"
2861,"Nestle Milk"
3514,Bournvita
3958,"Red Label Tea"
1260,"Dove Soap"
1750,"Good Day Cookies"
1251,"Parle-G Biscuits"
1976,"Harpic Toilet Cleaner"
694,"Maggi Noodles"
2867,"Harpic Toilet Cleaner"
2520,"Good Day Cookies"
2301,"Nestle Milk"
2574,"Parle-G Biscuits"
394,"Fortune Oil"
2252,"Harpic Toilet Cleaner"
2279,"Tata Salt"
3929,"Amul Butter"
827,"Tata Salt"
3735,"Aashirvaad Atta"
2861,"Godrej Hair Dye"
3064,"Fortune Oil"
3352,"Red Label Tea"
3489,"Dove Soap"
2307,"Red Label Tea"
3741,"Parle-G Biscuits"
833,"Himalaya Face Wash"
3366,"Aashirvaad Atta"
2116,"Colgate Toothpaste"
1806,"Tata Salt"
373,"Dettol Liquid"
2351,Bournvita
2270,"Dettol Liquid"
3663,"Harpic Toilet Cleaner"
90,"Good Day Cookies"
2827,"Good Day Cookies"
2040,"Parle-G Biscuits"
219,"Colgate Toothpaste"
3459,"Himalaya Face Wash"
3066,"Dove Soap"
1612,"Aashirvaad Atta"
2084,"Parle-G Biscuits"
2984,"Good Day Cookies"
2393,"Colgate Toothpaste"
404,"Tata Tea Gold"
2158,"Clinic Plus Shampoo"
1352,"Maggi Noodles"
3504,"Good Day Cookies"
494,"Ariel Detergent"
3702,"Good Day Cookies"
1502,"Parle-G Biscuits"
2396,"Harpic Toilet Cleaner"
1443,"Tata Tea Gold"
2653,"Amul Butter"
3516,"Maggi Noodles"
361,"Nestle Milk"
1146,"Harpic Toilet Cleaner"
3925,"Parle-G Biscuits"
667,"Aashirvaad Atta"
2915,"Godrej Hair Dye"
2793,"Britannia Rusk"
615,"Good Day Cookies"
3654,"Colgate Toothpaste"
1902,"Dove Soap"
3183,"Colgate Toothpaste"
3284,"Clinic Plus Shampoo"
299,"Parle-G Biscuits"
333,"Ariel Detergent"
2695,"Red Label Tea"
1242,"Britannia Rusk"
1152,"Fortune Oil"
1510,"Godrej Hair Dye"
3217,"Red Label Tea"
1067,Bournvita
1394,"Tata Tea Gold"
3452,"Amul Butter"
382,"Amul Butter"
2987,"Dove Soap"
2521,"Fortune Oil"
2670,"Amul Butter"
1435,"Dettol Liquid"
39,"Red Label Tea"
2311,"Red Label Tea"
3092,"Maggi Noodles"
3114,"Good Day Cookies"
1778,"Godrej Hair Dye"
213,"Fortune Oil"
2475,"Godrej Hair Dye"
666,"Clinic Plus Shampoo"
2415,"Tata Salt"
2182,"Tata Salt"
1451,"Ariel Detergent"
22,"Ariel Detergent"
2326,"Harpic Toilet Cleaner"
3696,"Clinic Plus Shampoo"
2371,"Parle-G Biscuits"
3691,"Harpic Toilet Cleaner"
210,"Maggi Noodles"
2541,"Dettol Liquid"
2537,"Tata Salt"
1194,"Nestle Milk"
95,"Parle-G Biscuits"
2175,"Aashirvaad Atta"
1692,"Parle-G Biscuits"
3887,"Himalaya Face Wash"
2230,"Aashirvaad Atta"
1537,"Ariel Detergent"
2150,"Dove Soap"
2656,"Nestle Milk"
1969,"Tata Salt"
1825,"Tata Tea Gold"
2906,"Himalaya Face Wash"
3416,"Nestle Milk"
1715,"Parle-G Biscuits"
899,"Godrej Hair Dye"
1312,"Godrej Hair Dye"
88,"Tata Salt"
1522,"Tata Tea Gold"
617,"Dove Soap"
2225,"Ariel Detergent"
1304,"Maggi Noodles"
2118,"Maggi Noodles"
3041,"Godrej Hair Dye"
1440,"Godrej Hair Dye"
3822,"Dettol Liquid"
152,"Amul Butter"
1933,"Dettol Liquid"
1428,"Colgate Toothpaste"
1907,"Clinic Plus Shampoo"
2497,"Tata Tea Gold"
1694,"Himalaya Face Wash"
3189,"Parle-G Biscuits"
3732,"Godrej Hair Dye"
572,"Dove Soap"
245,"Tata Salt"
3565,"Himalaya Face Wash"
1282,"Nestle Milk"
2418,"Red Label Tea"
3384,"Amul Butter"
98,"Maggi Noodles"
161,Bournvita
570,"Aashirvaad Atta"
3662,"Ariel Detergent"
2967,"Himalaya Face Wash"
689,"Good Day Cookies"
2198,"Harpic Toilet Cleaner"
49,"Nestle Milk"
200,"Himalaya Face Wash"
3107,"Ariel Detergent"
596,"Parle-G Biscuits"
1792,"Godrej Hair Dye"
2725,"Good Day Cookies"
2771,"Nestle Milk"
303,"Nestle Milk"
1713,"Britannia Rusk"
2319,"Himalaya Face Wash"
3311,"Britannia Rusk"
1778,"Red Label Tea"
2995,"Himalaya Face Wash"
1717,"Aashirvaad Atta"
2526,"Amul Butter"
503,"Maggi Noodles"
2939,"Harpic Toilet Cleaner"
212,"Clinic Plus Shampoo"
2061,"Harpic Toilet Cleaner"
3580,"Harpic Toilet Cleaner"
1851,"Godrej Hair Dye"
390,"Aashirvaad Atta"
901,"Amul Butter"
696,"Parle-G Biscuits"
1694,"Amul Butter"
3068,"Fortune Oil"
1242,"Dettol Liquid"
2644,"Tata Tea Gold"
1372,"Godrej Hair Dye"
3994,"Dettol Liquid"
200,"Colgate Toothpaste"
1618,"Amul Butter"
1333,Bournvita
1931,"Dove Soap"
590,"Dettol Liquid"
267,"Parle-G Biscuits"
3033,"Britannia Rusk"
1976,"Aashirvaad Atta"
3197,"Tata Salt"
855,"Parle-G Biscuits"
3342,Bournvita
1717,"Tata Tea Gold"
1915,"Amul Butter"
1070,"Britannia Rusk"
3303,"Tata Tea Gold"
758,"Amul Butter"
2777,"Red Label Tea"
3803,"Godrej Hair Dye"
830,"Godrej Hair Dye"
3005,"Harpic Toilet Cleaner"
3848,"Maggi Noodles"
2320,"Maggi Noodles"
889,"Good Day Cookies"
3051,"Britannia Rusk"
2049,"Amul Butter"
2238,"Himalaya Face Wash"
2503,"Godrej Hair Dye"
965,"Nestle Milk"
1833,"Dove Soap"
458,"Tata Tea Gold"
2282,"Britannia Rusk"
1822,"Amul Butter"
3012,"Tata Salt"
3485,"Himalaya Face Wash"
2786,"Red Label Tea"
397,"Nestle Milk"
3729,"Aashirvaad Atta"
3589,"Harpic Toilet Cleaner"
239,"Himalaya Face Wash"
1067,"Parle-G Biscuits"
3427,"Tata Tea Gold"
1737,"Amul Butter"
1887,"Harpic Toilet Cleaner"
548,"Good Day Cookies"
17,"Colgate Toothpaste"
1,"Himalaya Face Wash"
2034,"Godrej Hair Dye"
3067,"Harpic Toilet Cleaner"
3619,"Britannia Rusk"
1340,"Godrej Hair Dye"
3880,"Godrej Hair Dye"
642,Bournvita
3535,"Dove Soap"
2188,"Parle-G Biscuits"
1919,"Amul Butter"
3862,"Dettol Liquid"
1721,"Nestle Milk"
849,"Ariel Detergent"
400,"Britannia Rusk"
1403,"Dettol Liquid"
1070,"Tata Salt"
313,"Parle-G Biscuits"
2668,"Nestle Milk"
2257,"Clinic Plus Shampoo"
3624,"Dove Soap"
1376,"Parle-G Biscuits"
2559,Bournvita
687,"Amul Butter"
3976,"Amul Butter"
2598,"Dettol Liquid"
2369,"Good Day Cookies"
247,"Aashirvaad Atta"
1175,"Tata Salt"
1538,"Himalaya Face Wash"
1583,"Red Label Tea"
2798,"Harpic Toilet Cleaner"
1042,"Himalaya Face Wash"
1468,Bournvita
1064,"Ariel Detergent"
121,"Ariel Detergent"
565,"Aashirvaad Atta"
962,"Colgate Toothpaste"
3056,"Nestle Milk"
2715,"Tata Salt"
947,"Harpic Toilet Cleaner"
1265,"Parle-G Biscuits"
3553,"Red Label Tea"
2561,"Britannia Rusk"
1062,"Amul Butter"
2955,"Maggi Noodles"
1163,"Britannia Rusk"
2522,"Tata Tea Gold"
3454,"Tata Tea Gold"
2655,"Good Day Cookies"
3797,"Tata Tea Gold"
2254,"Britannia Rusk"
2660,"Tata Tea Gold"
3327,Bournvita
930,"Ariel Detergent"
344,"Colgate Toothpaste"
1661,"Red Label Tea"
2189,"Himalaya Face Wash"
323,"Fortune Oil"
2181,"Dove Soap"
2279,Bournvita
2661,"Red Label Tea"
2360,"Colgate Toothpaste"
2783,"Ariel Detergent"
190,"Fortune Oil"
1644,"Aashirvaad Atta"
1980,"Nestle Milk"
3408,Bournvita
1134,"Harpic Toilet Cleaner"
196,"Godrej Hair Dye"
3017,"Colgate Toothpaste"
1185,"Dettol Liquid"
636,"Dove Soap"
3600,"Good Day Cookies"
48,"Nestle Milk"
3179,"Good Day Cookies"
2202,"Good Day Cookies"
1621,"Good Day Cookies"
3076,"Parle-G Biscuits"
3200,"Red Label Tea"
100,"Parle-G Biscuits"
2859,"Maggi Noodles"
1404,"Britannia Rusk"
145,"Tata Tea Gold"
989,"Harpic Toilet Cleaner"
832,Bournvita
3248,"Parle-G Biscuits"
3757,"Tata Salt"
521,"Godrej Hair Dye"
2635,"Ariel Detergent"
1498,"Red Label Tea"
2593,"Fortune Oil"
2059,"Fortune Oil"
3040,"Good Day Cookies"
1239,"Good Day Cookies"
279,"Colgate Toothpaste"
3777,"Good Day Cookies"
751,"Amul Butter"
1392,"Fortune Oil"
2939,"Colgate Toothpaste"
3846,"Tata Salt"
2218,"Fortune Oil"
413,"Dettol Liquid"
1807,"Good Day Cookies"
3810,Bournvita
3853,"Nestle Milk"
3546,"Tata Tea Gold"
1452,"Ariel Detergent"
1224,"Nestle Milk"
3376,"Godrej Hair Dye"
515,"Maggi Noodles"
2825,"Himalaya Face Wash"
1853,"Maggi Noodles"
3825,"Harpic Toilet Cleaner"
3126,"Nestle Milk"
3699,"Colgate Toothpaste"
271,Bournvita
1014,"Amul Butter"
1675,Bournvita
3207,"Fortune Oil"
2295,"Colgate Toothpaste"
3756,"Clinic Plus Shampoo"
2594,"Dettol Liquid"
2266,"Good Day Cookies"
1380,"Fortune Oil"
2060,"Good Day Cookies"
3250,"Parle-G Biscuits"
203,"Fortune Oil"
2145,"Himalaya Face Wash"
1478,"Nestle Milk"
1789,"Godrej Hair Dye"
2948,"Clinic Plus Shampoo"
1656,"Dettol Liquid"
3063,"Harpic Toilet Cleaner"
2778,"Nestle Milk"
3447,"Ariel Detergent"
400,"Parle-G Biscuits"
2810,"Dove Soap"
2594,"Tata Salt"
1406,"Parle-G Biscuits"
2879,"Parle-G Biscuits"
3610,"Maggi Noodles"
3995,Bournvita
1504,"Himalaya Face Wash"
2857,"Britannia Rusk"
979,"Red Label Tea"
3155,"Britannia Rusk"
3911,"Tata Salt"
3411,"Aashirvaad Atta"
1397,"Colgate Toothpaste"
1877,"Dettol Liquid"
2750,"Parle-G Biscuits"
277,"Dettol Liquid"
1328,"Amul Butter"
497,"Tata Salt"
1369,"Tata Salt"
381,"Dettol Liquid"
2520,"Aashirvaad Atta"
1567,"Harpic Toilet Cleaner"
1883,"Britannia Rusk"
1166,Bournvita
191,"Parle-G Biscuits"
2338,"Red Label Tea"
46,"Clinic Plus Shampoo"
1047,"Dove Soap"
3653,Bournvita
3014,Bournvita
3781,"Tata Tea Gold"
3477,"Harpic Toilet Cleaner"
2022,"Colgate Toothpaste"
281,"Nestle Milk"
2509,"Maggi Noodles"
1607,Bournvita
3750,"Harpic Toilet Cleaner"
3321,"Good Day Cookies"
664,"Good Day Cookies"
712,Bournvita
2269,"Godrej Hair Dye"
793,"Dove Soap"
385,"Godrej Hair Dye"
3004,"Ariel Detergent"
11,"Amul Butter"
3075,"Britannia Rusk"
3324,"Parle-G Biscuits"
197,"Ariel Detergent"
3422,"Colgate Toothpaste"
3962,"Nestle Milk"
295,Bournvita
1382,"Maggi Noodles"
2443,"Red Label Tea"
2874,"Harpic Toilet Cleaner"
268,"Maggi Noodles"
3651,"Dettol Liquid"
2097,"Maggi Noodles"
1545,"Good Day Cookies"
1126,"Colgate Toothpaste"
492,"Good Day Cookies"
504,"Himalaya Face Wash"
1769,"Aashirvaad Atta"
3542,"Dettol Liquid"
2901,"Fortune Oil"
2180,Bournvita
3070,"Red Label Tea"
229,"Tata Tea Gold"
3052,"Godrej Hair Dye"
2681,"Ariel Detergent"
2933,Bournvita
3362,"Britannia Rusk"
3457,"Maggi Noodles"
1386,"Tata Tea Gold"
2332,"Ariel Detergent"
420,"Colgate Toothpaste"
2828,"Good Day Cookies"
3170,"Parle-G Biscuits"
2787,"Britannia Rusk"
592,"Fortune Oil"
2902,"Harpic Toilet Cleaner"
679,"Clinic Plus Shampoo"
459,Bournvita
511,"Dove Soap"
3642,"Godrej Hair Dye"
3926,Bournvita
3501,"Ariel Detergent"
1888,"Dove Soap"
2991,"Harpic Toilet Cleaner"
2670,Bournvita
2813,"Tata Tea Gold"
1289,"Maggi Noodles"
2312,"Ariel Detergent"
3635,"Parle-G Biscuits"
2711,"Red Label Tea"
1356,"Harpic Toilet Cleaner"
660,"Amul Butter"
3437,"Britannia Rusk"
314,"Red Label Tea"
2730,"Amul Butter"
3021,"Dove Soap"
338,"Himalaya Face Wash"
2346,"Fortune Oil"
3677,"Amul Butter"
2047,"Godrej Hair Dye"
2455,"Himalaya Face Wash"
2499,"Godrej Hair Dye"
2752,"Fortune Oil"
1804,Bournvita
3645,"Amul Butter"
3079,Bournvita
3725,"Ariel Detergent"
2795,"Godrej Hair Dye"
3216,"Clinic Plus Shampoo"
2331,"Ariel Detergent"
389,"Clinic Plus Shampoo"
1314,"Fortune Oil"
703,"Amul Butter"
1058,"Maggi Noodles"
3073,"Aashirvaad Atta"
3951,"Maggi Noodles"
3348,"Harpic Toilet Cleaner"
3316,"Good Day Cookies"
3296,"Tata Salt"
1284,"Tata Salt"
892,"Clinic Plus Shampoo"
1956,"Clinic Plus Shampoo"
659,"Aashirvaad Atta"
3025,"Harpic Toilet Cleaner"
3056,Bournvita
2110,"Harpic Toilet Cleaner"
1381,"Godrej Hair Dye"
3400,"Aashirvaad Atta"
1458,"Good Day Cookies"
3705,"Himalaya Face Wash"
781,Bournvita
1916,"Clinic Plus Shampoo"
1523,"Parle-G Biscuits"
96,"Ariel Detergent"
485,"Dove Soap"
3531,"Dettol Liquid"
1949,"Amul Butter"
3202,"Good Day Cookies"
132,"Tata Tea Gold"
34,"Parle-G Biscuits"
3018,"Ariel Detergent"
2145,"Good Day Cookies"
2324,"Dove Soap"
3685,"Red Label Tea"
1897,"Dove Soap"
3966,"Tata Salt"
1831,"Harpic Toilet Cleaner"
3151,"Parle-G Biscuits"
1290,"Britannia Rusk"
2563,"Tata Tea Gold"
3127,"Colgate Toothpaste"
818,"Dove Soap"
1790,"Aashirvaad Atta"
3566,"Red Label Tea"
882,"Dettol Liquid"
3086,"Ariel Detergent"
2825,"Clinic Plus Shampoo"
1048,"Godrej Hair Dye"
723,"Dettol Liquid"
866,"Parle-G Biscuits"
1847,"Fortune Oil"
2690,"Tata Salt"
2648,"Parle-G Biscuits"
798,"Maggi Noodles"
1605,"Dettol Liquid"
258,"Maggi Noodles"
3959,"Harpic Toilet Cleaner"
3606,"Parle-G Biscuits"
2365,"Aashirvaad Atta"
2600,"Aashirvaad Atta"
411,"Dove Soap"
1905,"Nestle Milk"
3921,"Harpic Toilet Cleaner"
2275,"Maggi Noodles"
126,"Tata Tea Gold"
3150,"Colgate Toothpaste"
1828,"Dettol Liquid"
1805,"Colgate Toothpaste"
1829,"Tata Salt"
1858,"Parle-G Biscuits"
3522,"Nestle Milk"
469,"Amul Butter"
2943,"Britannia Rusk"
3956,"Tata Salt"
3840,"Godrej Hair Dye"
3998,"Colgate Toothpaste"
3317,"Harpic Toilet Cleaner"
3074,"Dove Soap"
671,"Good Day Cookies"
842,"Tata Salt"
1706,"Himalaya Face Wash"
327,"Parle-G Biscuits"
435,"Godrej Hair Dye"
623,"Harpic Toilet Cleaner"
2186,"Nestle Milk"
1440,"Amul Butter"
3964,"Maggi Noodles"
2975,"Dettol Liquid"
464,"Clinic Plus Shampoo"
2927,"Tata Salt"
3891,"Red Label Tea"
2531,"Ariel Detergent"
2881,"Himalaya Face Wash"
831,"Colgate Toothpaste"
663,"Nestle Milk"
1421,"Godrej Hair Dye"
3316,"Tata Tea Gold"
1945,"Dettol Liquid"
1596,"Harpic Toilet Cleaner"
3039,"Good Day Cookies"
3585,"Dettol Liquid"
1817,"Godrej Hair Dye"
780,"Himalaya Face Wash"
993,"Parle-G Biscuits"
2961,"Godrej Hair Dye"
1192,"Dove Soap"
2116,"Fortune Oil"
3452,"Ariel Detergent"
2446,"Tata Tea Gold"
1125,"Britannia Rusk"
38,"Tata Salt"
1746,"Nestle Milk"
675,"Britannia Rusk"
2402,"Colgate Toothpaste"
2752,"Dove Soap"
3164,"Harpic Toilet Cleaner"
666,"Tata Salt"
1297,"Dettol Liquid"
1995,"Ariel Detergent"
1259,"Dettol Liquid"
3707,"Tata Tea Gold"
1490,"Tata Tea Gold"
2180,"Colgate Toothpaste"
3354,"Tata Salt"
1898,"Tata Salt"
1389,"Dettol Liquid"
2411,"Tata Salt"
3719,"Britannia Rusk"
2428,"Tata Tea Gold"
1809,"Clinic Plus Shampoo"
3076,"Red Label Tea"
3416,"Dettol Liquid"
1746,"Amul Butter"
379,"Harpic Toilet Cleaner"
899,"Britannia Rusk"
2898,"Nestle Milk"
3992,"Tata Salt"
1961,"Ariel Detergent"
3333,"Parle-G Biscuits"
301,Bournvita
542,"Amul Butter"
771,"Maggi Noodles"
2520,"Dettol Liquid"
367,"Good Day Cookies"
3347,"Parle-G Biscuits"
3988,"Aashirvaad Atta"
3816,"Fortune Oil"
2595,"Fortune Oil"
199,"Parle-G Biscuits"
3910,"Himalaya Face Wash"
311,"Britannia Rusk"
3062,"Parle-G Biscuits"
257,"Himalaya Face Wash"
3803,"Himalaya Face Wash"
2837,"Himalaya Face Wash"
1932,"Fortune Oil"
1928,"Dove Soap"
2076,"Himalaya Face Wash"
2170,"Red Label Tea"
21,"Harpic Toilet Cleaner"
2002,"Amul Butter"
339,"Amul Butter"
2828,"Godrej Hair Dye"
916,"Britannia Rusk"
3601,"Colgate Toothpaste"
3068,"Fortune Oil"
2044,"Good Day Cookies"
28,"Clinic Plus Shampoo"
1942,"Clinic Plus Shampoo"
2628,"Red Label Tea"
3130,"Dove Soap"
2263,Bournvita
1932,"Good Day Cookies"
196,"Maggi Noodles"
2984,"Ariel Detergent"
171,"Ariel Detergent"
3335,"Himalaya Face Wash"
22,"Dove Soap"
1821,"Clinic Plus Shampoo"
3111,"Tata Salt"
2843,"Maggi Noodles"
2126,"Fortune Oil"
1140,"Ariel Detergent"
215,"Britannia Rusk"
787,"Fortune Oil"
2415,"Dove Soap"
1499,"Good Day Cookies"
2314,"Harpic Toilet Cleaner"
1879,"Amul Butter"
64,"Tata Salt"
2401,"Tata Tea Gold"
731,"Dove Soap"
3761,"Red Label Tea"
3629,"Dove Soap"
2121,"Tata Salt"
1199,"Nestle Milk"
1882,"Himalaya Face Wash"
938,"Godrej Hair Dye"
509,"Tata Tea Gold"
2398,"Britannia Rusk"
2754,"Amul Butter"
16,"Godrej Hair Dye"
3212,"Ariel Detergent"
3715,"Tata Tea Gold"
600,"Tata Salt"
3689,"Maggi Noodles"
3978,"Red Label Tea"
197,"Good Day Cookies"
8,"Colgate Toothpaste"
3117,Bournvita
3039,"Dettol Liquid"
2533,"Aashirvaad Atta"
1369,"Ariel Detergent"
135,"Nestle Milk"
3094,"Parle-G Biscuits"
2711,"Ariel Detergent"
1235,"Maggi Noodles"
1314,"Tata Salt"
3305,"Parle-G Biscuits"
815,"Harpic Toilet Cleaner"
2261,"Harpic Toilet Cleaner"
3706,"Britannia Rusk"
305,"Amul Butter"
3416,"Parle-G Biscuits"
6,Bournvita
819,"Maggi Noodles"
257,"Clinic Plus Shampoo"
337,"Good Day Cookies"
1851,"Aashirvaad Atta"
2383,Bournvita
2382,"Maggi Noodles"
956,"Clinic Plus Shampoo"
3297,"Godrej Hair Dye"
2804,"Ariel Detergent"
1087,"Maggi Noodles"
1272,"Clinic Plus Shampoo"
2906,"Tata Salt"
2763,"Red Label Tea"
665,"Good Day Cookies"
3332,"Tata Tea Gold"
1841,"Godrej Hair Dye"
865,"Parle-G Biscuits"
2020,"Red Label Tea"
2759,"Maggi Noodles"
2781,Bournvita
3624,"Clinic Plus Shampoo"
2891,"Dettol Liquid"
792,"Colgate Toothpaste"
2667,"Tata Tea Gold"
2462,"Parle-G Biscuits"
3105,"Britannia Rusk"
3629,"Godrej Hair Dye"
500,"Nestle Milk"
1509,"Aashirvaad Atta"
1091,"Ariel Detergent"
3232,"Fortune Oil"
3205,Bournvita
3483,"Colgate Toothpaste"
1033,"Aashirvaad Atta"
617,"Tata Salt"
198,"Fortune Oil"
1764,"Fortune Oil"
938,"Good Day Cookies"
3254,"Amul Butter"
3840,"Tata Tea Gold"
1372,"Tata Salt"
3576,"Dove Soap"
3779,"Himalaya Face Wash"
3391,"Good Day Cookies"
804,"Aashirvaad Atta"
2031,"Harpic Toilet Cleaner"
1695,"Good Day Cookies"
1784,"Dove Soap"
2848,Bournvita
292,"Tata Tea Gold"
1262,"Harpic Toilet Cleaner"
1313,"Red Label Tea"
1555,"Britannia Rusk"
466,"Good Day Cookies"
922,"Harpic Toilet Cleaner"
2829,"Tata Salt"
650,"Clinic Plus Shampoo"
2525,"Tata Tea Gold"
431,"Tata Salt"
1922,"Colgate Toothpaste"
1033,"Britannia Rusk"
926,"Nestle Milk"
3733,"Fortune Oil"
700,"Fortune Oil"
2751,"Tata Tea Gold"
1254,"Himalaya Face Wash"
1636,"Aashirvaad Atta"
512,"Aashirvaad Atta"
231,"Good Day Cookies"
3237,"Colgate Toothpaste"
1500,"Ariel Detergent"
1830,"Fortune Oil"
772,"Parle-G Biscuits"
1649,"Dettol Liquid"
2040,Bournvita
3106,"Ariel Detergent"
3295,"Clinic Plus Shampoo"
3273,"Godrej Hair Dye"
506,"Tata Tea Gold"
1668,"Tata Salt"
1416,"Godrej Hair Dye"
655,"Parle-G Biscuits"
105,"Colgate Toothpaste"
324,"Britannia Rusk"
557,"Tata Tea Gold"
1919,"Red Label Tea"
2225,"Himalaya Face Wash"
3482,Bournvita
1099,"Colgate Toothpaste"
2179,"Amul Butter"
10,"Amul Butter"
3946,"Harpic Toilet Cleaner"
2022,"Fortune Oil"
2772,"Fortune Oil"
1641,"Godrej Hair Dye"
2304,"Harpic Toilet Cleaner"
131,"Amul Butter"
1437,"Nestle Milk"
3072,"Parle-G Biscuits"
2276,"Good Day Cookies"
1596,"Amul Butter"
3413,"Dettol Liquid"
2757,"Parle-G Biscuits"
2480,"Britannia Rusk"
3675,Bournvita
316,"Maggi Noodles"
429,"Ariel Detergent"
2110,"Harpic Toilet Cleaner"
668,"Dove Soap"
1580,"Harpic Toilet Cleaner"
151,"Tata Tea Gold"
3915,"Harpic Toilet Cleaner"
3741,"Colgate Toothpaste"
726,"Red Label Tea"
227,"Ariel Detergent"
1580,"Aashirvaad Atta"
3158,"Dove Soap"
1505,"Godrej Hair Dye"
1532,"Maggi Noodles"
2114,"Godrej Hair Dye"
656,"Britannia Rusk"
3323,"Ariel Detergent"
2512,"Himalaya Face Wash"
3890,"Parle-G Biscuits"
3808,"Amul Butter"
3796,"Nestle Milk"
642,"Godrej Hair Dye"
571,"Amul Butter"
2537,"Dettol Liquid"
991,"Dettol Liquid"
3498,"Godrej Hair Dye"
401,"Red Label Tea"
1153,"Nestle Milk"
3689,"Amul Butter"
925,"Dove Soap"
3835,"Harpic Toilet Cleaner"
1655,"Colgate Toothpaste"
1720,"Good Day Cookies"
2946,"Tata Salt"
3284,"Tata Tea Gold"
2829,"Amul Butter"
1560,Bournvita
2300,"Parle-G Biscuits"
996,"Red Label Tea"
98,"Himalaya Face Wash"
981,"Clinic Plus Shampoo"
1080,"Amul Butter"
1126,"Aashirvaad Atta"
3211,"Godrej Hair Dye"
3344,"Clinic Plus Shampoo"
426,"Tata Tea Gold"
3420,"Maggi Noodles"
2088,"Harpic Toilet Cleaner"
2920,Bournvita
921,"Nestle Milk"
421,"Amul Butter"
2534,"Amul Butter"
2534,"Amul Butter"
784,"Tata Tea Gold"
2324,"Harpic Toilet Cleaner"
736,"Harpic Toilet Cleaner"
689,"Tata Tea Gold"
849,"Fortune Oil"
2158,"Harpic Toilet Cleaner"
2923,"Ariel Detergent"
3551,"Good Day Cookies"
35,"Tata Salt"
3538,"Fortune Oil"
2794,"Godrej Hair Dye"
1059,"Dove Soap"
1196,"Fortune Oil"
3260,"Amul Butter"
183,"Aashirvaad Atta"
2745,"Clinic Plus Shampoo"
1842,"Amul Butter"
133,"Good Day Cookies"
872,"Maggi Noodles"
1707,"Tata Salt"
52,Bournvita
3586,"Godrej Hair Dye"
2242,"Aashirvaad Atta"
3274,"Dettol Liquid"
111,"Nestle Milk"
3055,"Dettol Liquid"
2271,"Dettol Liquid"
3508,"Harpic Toilet Cleaner"
272,"Nestle Milk"
1679,"Clinic Plus Shampoo"
3153,"Tata Tea Gold"
3415,"Amul Butter"
2044,"Red Label Tea"
2534,"Ariel Detergent"
407,"Maggi Noodles"
1629,"Aashirvaad Atta"
999,"Harpic Toilet Cleaner"
28,"Tata Tea Gold"
